任务名称	小怪	小怪秒均	小怪怪均	水免	高危
1101(1-23)蒙德望风角	23 	5.07 	42.72 	0	0
1102(1-16)蒙德望风角	16 	4.02 	39.71 	0	0
1103(0-22)蒙德望风山地	24 	4.86 	44.45 	0	0
1104(0-18)蒙德千风西	21 	5.50 	40.92 	0	0
1202(1-27)蒙德奔狼领	24 	4.83 	42.71 	0	0
1203(2-26)蒙德塞西莉亚苗圃	25 	5.93 	44.36 	0	0
2101璃月无妄坡西南	32 	5.62 	48.91 	0	0
2201璃月明蕴镇西北	3 	6.04 	122.63 	0	0
2202璃月瑶光滩西北	20 	3.86 	60.42 	0	0
2301璃月太山府	7 	5.69 	47.11 	0	0
2302璃月珉林	7 	6.24 	44.89 	0	0
2303璃月琥牢山	11 	5.02 	45.52 	0	0
2401(高危)璃月地面矿区	17 	4.37 	39.72 	0	1
25012璃月遁玉陵	6 	1.52 	40.42 	0	0
2501璃月遁玉陵	14 	4.69 	65.90 	0	0
2502璃月群玉阁西	25 	4.65 	41.38 	0	0
2601(水免)璃月港东北	29 	5.08 	51.42 	1	0
2601地下水泽西南三飞萤	3 	4.56 	120.75 	0	0
2602层岩地下主矿道东	10 	3.70 	42.66 	0	0
2603璃月临时主矿道东	8 	2.98 	40.67 	0	0
2604璃月临时主矿道西	4 	2.67 	39.88 	0	0
2605璃月临时主矿道西	6 	3.30 	60.67 	0	0
2606璃月地下水泽北	10 	2.82 	40.70 	0	0
2607璃月巨渊主矿区(高危)	21 	3.15 	42.41 	0	1
2608璃月巨渊主矿区	10 	3.53 	50.65 	0	0
2609璃月巨渊主矿区南	7 	2.03 	41.33 	0	0
3101(高危)稻妻白狐之野南	13 	4.02 	39.90 	0	1
3102稻妻绀田村南	16 	4.00 	40.69 	0	0
3103稻妻绀田村南3	6 	3.27 	40.67 	0	0
3104(高危)稻妻绀田村南2	6 	2.91 	58.77 	0	1
3105(水免)稻妻镇守之森	13 	5.41 	53.37 	1	0
3106(水免)稻妻神里屋敷	10 	3.91 	60.64 	1	0
3107稻妻绀田村	9 	4.50 	39.61 	0	0
3108稻妻荒海南	14 	3.66 	45.80 	0	0
3201稻妻九条阵屋	24 	4.69 	46.46 	0	0
3202稻妻踏鞴东北	6 	4.77 	40.38 	0	0
3204稻妻踏鞴神像2	6 	4.37 	62.08 	0	0
3205(高危)稻妻踏鞴反应炉东三骗骗花	9 	3.78 	48.06 	0	1
3206稻妻踏鞴反应炉东	4 	2.45 	58.25 	0	0
3207稻妻踏鞴浪船	5 	4.66 	56.55 	0	0
3208稻妻借景之馆	4 	4.63 	51.06 	0	0
3209稻妻踏鞴公义东南	13 	4.18 	46.50 	0	0
3210稻妻公义飞萤	4 	8.02 	119.80 	0	0
3211稻妻名椎滩东	16 	4.31 	46.96 	0	0
3212稻妻名椎滩西	10 	5.51 	43.93 	0	0
3301稻妻绯木村神像	23 	4.14 	45.43 	0	0
3302稻妻蛇骨矿洞南	4 	4.17 	38.88 	0	0
3303(水免)稻妻剑鬼东2	13 	4.89 	46.73 	1	0
3304稻妻剑鬼东3	11 	3.71 	40.02 	0	0
3305稻妻剑鬼东1	23 	4.82 	47.10 	0	0
3306稻妻藤兜砦西	19 	4.80 	47.76 	0	0
3401(水免)稻妻海祇岛东	13 	3.43 	43.16 	1	0
3402稻妻海祇岛东南	12 	2.59 	47.72 	0	0
3403稻妻海祇岛南	12 	3.29 	43.96 	0	0
3404稻妻海祇岛北	10 	2.81 	41.10 	0	0
3501稻妻渊下蛇肠之路	13 	3.41 	45.83 	0	0
3502稻妻狭间之街西南	7 	6.94 	41.28 	0	0
3503稻妻狭间之街西	10 	3.34 	40.10 	0	0
3504稻妻狭间之街东	10 	3.39 	40.74 	0	0
3505稻妻狭间之街东	8 	2.87 	45.58 	0	0
3506稻妻大日御舆西	9 	4.04 	40.32 	0	0
3607稻妻大日御舆南	5 	4.57 	40.22 	0	0
3608稻妻大日御舆西（出发点转动超时）	4 	1.77 	39.50 	0	0
3609稻妻大日御舆东	3 	2.10 	38.75 	0	0
3610稻妻大日御舆东	6 	4.95 	41.58 	0	0
3611稻妻常夜灵庙	6 	2.91 	41.08 	0	0
3612稻妻常夜灵庙南	3 	2.06 	39.67 	0	0
3613稻妻蛇心之地	4 	3.07 	41.13 	0	0
3701稻妻鹤观王兽	3 	1.98 	37.42 	0	0
3702稻妻鹤观东	9 	3.52 	47.68 	0	0
3703稻妻鹤观东	4 	2.65 	43.32 	0	0
3801稻妻清籁丸地洞	6 	1.76 	46.39 	0	0
3802稻妻越石村	8 	2.16 	41.48 	0	0
3803稻妻平海砦	4 	3.91 	41.75 	0	0
3804稻妻平海砦	14 	5.13 	54.49 	0	0
3805稻妻平海砦东	8 	4.16 	40.59 	0	0
3806稻妻平海砦南	12 	3.83 	40.35 	0	0
4101(高危)须弥二净甸	49 	4.79 	41.32 	0	0
5101枫丹廷东北	11 	2.33 	42.88 	0	0
