任务名称	小怪	小怪秒均	小怪怪均	水免	高危
1101(1-23)蒙德望风角	23 	4.96 	42.32 	0	0
1102(1-16)蒙德望风角	16 	3.93 	40.87 	0	0
1103(0-22)蒙德望风山地	25 	3.82 	45.48 	0	0
1104(0-18)蒙德千风西	19 	4.67 	41.31 	0	0
1202(1-27)蒙德奔狼领	25 	4.76 	40.87 	0	0
1203(2-26)蒙德塞西莉亚苗圃	25 	5.40 	43.84 	0	0
2101璃月无妄坡西南	33 	4.86 	47.88 	0	0
2201璃月明蕴镇西北	3 	4.86 	126.80 	0	0
2202璃月瑶光滩西北	20 	3.59 	59.58 	0	0
2301璃月太山府	7 	5.67 	46.07 	0	0
2302璃月珉林	7 	7.17 	46.57 	0	0
2303璃月琥牢山	12 	4.63 	43.65 	0	0
2401(高危)璃月地面矿区	16 	3.69 	40.63 	0	1
25012璃月遁玉陵	6 	1.42 	40.17 	0	0
2501璃月遁玉陵	14 	4.47 	65.30 	0	0
2502璃月群玉阁西	25 	4.23 	40.87 	0	0
2601(水免)璃月港东北	29 	4.39 	54.58 	1	0
3101(高危)稻妻白狐之野南	12 	3.68 	41.43 	0	1
3102稻妻绀田村南	16 	3.61 	40.73 	0	0
3103稻妻绀田村南3	6 	2.85 	38.68 	0	0
3104(高危)稻妻绀田村南2	6 	3.11 	57.08 	0	1
3105(水免)稻妻镇守之森	13 	4.89 	53.92 	1	0
3106(水免)稻妻神里屋敷	10 	4.12 	62.53 	1	0
3107稻妻绀田村	9 	3.98 	40.17 	0	0
3108稻妻荒海南	14 	3.86 	48.02 	0	0
3201稻妻九条阵屋	25 	4.81 	47.80 	0	0
3202稻妻踏鞴东北	6 	5.94 	39.50 	0	0
3204稻妻踏鞴神像2	6 	4.40 	61.38 	0	0
3205(高危)稻妻踏鞴反应炉东三骗骗花	9 	3.36 	48.67 	0	1
3206稻妻踏鞴反应炉东	4 	2.40 	62.69 	0	0
3207稻妻踏鞴浪船	5 	4.40 	55.35 	0	0
3208稻妻借景之馆	5 	6.01 	62.58 	0	0
3209稻妻踏鞴公义东南	13 	3.85 	45.76 	0	0
3210稻妻公义飞萤	4 	7.93 	122.94 	0	0
3211稻妻名椎滩东	20 	4.82 	46.52 	0	0
3212稻妻名椎滩西	10 	5.41 	42.97 	0	0
3301稻妻绯木村神像	24 	4.18 	45.37 	0	0
3302稻妻蛇骨矿洞南	4 	4.64 	41.44 	0	0
3303(水免)稻妻剑鬼东2	13 	4.86 	47.79 	1	0
3304稻妻剑鬼东3	11 	2.90 	39.73 	0	0
3305稻妻剑鬼东1	23 	4.51 	48.14 	0	0
3306稻妻藤兜砦西	19 	4.44 	47.16 	0	0
3401(水免)稻妻海祇岛东	12 	3.21 	43.67 	1	0
3402稻妻海祇岛东南	12 	2.24 	48.54 	0	0
3403稻妻海祇岛南	12 	3.16 	42.59 	0	0
3404稻妻海祇岛北	10 	2.48 	39.68 	0	0
4101(高危)须弥二净甸	49 	4.55 	41.58 	0	1
5101枫丹廷东北	11 	2.66 	43.23 	0	0
5102枫丹廷北	21 	5.30 	45.90 	0	0
5201枫丹优兰湖西	14 	4.13 	43.39 	0	0
5202枫丹垂柳西北	8 	2.58 	44.34 	0	0
5203枫丹垂柳东南	13 	3.74 	41.52 	0	0
5204(水免)枫丹垂柳东南	13 	6.20 	46.33 	1	0
5205枫丹垂柳东南	6 	2.91 	40.83 	0	0
5206枫丹垂柳东南	10 	2.86 	40.34 	0	0
5207枫丹柔灯港北	15 	3.92 	40.90 	0	0
5208枫丹幽林东北	12 	3.98 	39.66 	0	0
52092枫丹露景泉东	11 	2.54 	43.34 	0	0
5209枫丹露景泉东	2 	3.75 	67.11 	0	0
5210枫丹幽林东北	10 	4.14 	41.08 	0	0
5301枫丹卡布堡南	10 	3.24 	41.70 	0	0
5302枫丹卡布堡南	7 	2.22 	39.96 	0	0
5303枫丹卡布堡北	8 	2.65 	65.90 	0	0
5401枫丹秋分东南	5 	5.06 	64.70 	0	0
5402枫丹秋分山东	12 	2.77 	39.23 	0	0
5403枫丹螃蟹北	15 	3.19 	42.83 	0	0
5501枫丹螃蟹西	21 	3.83 	48.07 	0	0
5502枫丹苍晶南山峰西	16 	3.15 	47.38 	0	0
5503枫丹厄里东北	9 	3.37 	45.00 	0	0
5601枫丹场力东南	16 	2.58 	46.61 	0	0
5602枫丹场力东南	18 	3.18 	44.51 	0	0
5603枫丹场力北	14 	2.74 	52.11 	0	0
5604枫丹中央遗址北	8 	2.58 	52.00 	0	0
5605枫丹中央遗址北	6 	2.87 	48.92 	0	0
5606枫丹新科学院	6 	2.23 	51.33 	0	0
5607枫丹新科学院	9 	2.35 	49.67 	0	0
5608枫丹新科学院	14 	3.25 	53.95 	0	0
5609(高危)枫丹千年骏麟	14 	3.77 	55.55 	0	0
6101--纳塔_镜璧山_西海岸1_(8-13)	19 	3.70 	54.64 	0	0
6102--纳塔_镜璧山_西海岸2_(8-6)	11 	3.42 	58.42 	0	0
6103--纳塔_镜璧山_西海岸3_(5-3)	8 	5.78 	67.96 	0	0
6104--纳塔_镜璧山_中部1_(8-6)	14 	3.63 	61.98 	0	0
6105--纳塔_镜璧山_神像1_(4-0)	3 	5.24 	80.67 	0	0
6106--纳塔_镜璧山_中部2	13 	5.22 	59.37 	0	0
6107--纳塔_镜璧山_神像2_(9-6)	14 	5.69 	65.19 	0	0
6201--纳塔_奥奇_西北海岸_(8-1)	13 	4.29 	65.47 	0	0
6203--纳塔_奥奇_中层悬崖_11-2)	12 	4.01 	75.73 	0	0
6204--纳塔_奥奇_神像_(7-1)	8 	4.47 	76.21 	0	0
6205--纳塔_奥奇_东北岛屿_(5-1)	6 	3.41 	71.88 	0	0
6301--纳塔_翘枝崖_神像_(8-3)	9 	3.73 	68.86 	0	0
6302--纳塔_翘枝崖_北海岸_(3-5)	10 	3.75 	55.84 	0	0
6303--纳塔_翘枝崖_花语会南_(3-6)	9 	3.65 	58.25 	0	0
6304--纳塔_翘枝崖_花语会南2_(3-9)	12 	4.09 	53.88 	0	0
6305--纳塔_翘枝崖_花语会南3_(4-4)	6 	3.02 	59.36 	0	0
6306--纳塔_翘枝崖_柴薪之丘_(11-18)	32 	5.55 	54.09 	0	0
6401--纳塔_万火之瓯_竞技场_(14-17)	19 	3.18 	57.90 	0	0
6402--纳塔_万火之瓯_竞技场2_(3-4)	7 	3.81 	55.36 	0	0
6403--纳塔_万火之瓯_竞技场3_(4-3)	4 	3.64 	61.44 	0	0
6404--纳塔_万火之瓯_竞技场4_(12-11)	21 	5.70 	61.40 	0	0
6405--纳塔_万火之瓯_竞技场5_(3-5)	7 	6.55 	52.50 	0	0
6406--纳塔_万火之瓯_悬木人_(6-6)	11 	5.58 	62.40 	0	0
6407--纳塔_万火之瓯_悬木人_(5-4)	9 	4.72 	66.20 	0	0
6501--纳塔_坚岩隘谷_硫晶支脉_(6-4)	14 	5.20 	60.85 	0	0
6502--纳塔_坚岩隘谷_硫晶支脉2_(4-9)	13 	4.47 	54.09 	0	0
6503--纳塔_坚岩隘谷_隆崛坡_(6-1)	10 	3.70 	61.20 	0	0
6504--纳塔_坚岩隘谷_硫晶支脉3_(16-13)	33 	4.82 	64.58 	0	0
6505--纳塔_坚岩隘谷_回声之子_(7-13)	12 	3.83 	53.92 	0	0
6506--纳塔_坚岩隘谷_回声之子_(8-9)	17 	5.81 	59.75 	0	0
6507--纳塔_坚岩隘谷_中部河流_(15-9)	26 	5.66 	60.81 	0	0
6508--纳塔_坚岩隘谷_硫晶支脉4_(6-2)	7 	3.36 	68.71 	0	0
6509--纳塔_坚岩隘谷_南侧崖壁_(5-5)	9 	3.69 	62.58 	0	0
6510--纳塔_坚岩隘谷_南侧崖壁_(8-13)	20 	4.72 	58.21 	0	0
6511--纳塔_坚岩隘谷_隆崛坡2_(2-3)	4 	2.88 	64.36 	0	0
6601--纳塔_涌流地_北侧山脉_(2-4)	4 	3.55 	56.71 	0	0
6602--纳塔_涌流地_北侧山脉2_(11-7)	28 	4.89 	54.47 	0	0
6603--纳塔_涌流地_秘境西侧_(2-7)	9 	4.41 	49.39 	0	0
6604--纳塔_涌流地_秘境南侧_(2-7)	15 	5.42 	52.07 	0	0
6605--纳塔_涌流地_溶水域_(6-0)	5 	3.00 	82.15 	0	0
6606--纳塔_涌流地_溶水域2_(4-3)	7 	4.99 	64.32 	0	0
6607--纳塔_涌流地_溶水域3_(11-5)	14 	4.17 	58.82 	0	0
6608--纳塔_涌流地_溶水域4_(2-3)	4 	2.89 	58.59 	0	0
6609--纳塔_涌流地_南侧小岛_(5-8)	8 	5.26 	60.50 	0	0
6610--纳塔_涌流地_东侧小岛_(10-14)	16 	3.67 	55.00 	0	0
6611--纳塔_涌流地_中央神像_(9-8)	12 	4.35 	60.72 	0	0
6701--纳塔_踞石山_庙宇北侧_(3-5)	8 	4.36 	56.56 	0	0
6702--纳塔_踞石山_庙宇北侧_(1-11)	14 	3.67 	43.60 	0	0
6703--纳塔_踞石山_北侧主峰_(10-9)	14 	4.37 	59.52 	0	0
6704--纳塔_踞石山_东侧海边_(3-7)	10 	6.09 	52.05 	0	0
6705--纳塔_踞石山_彩石顶_(10-4)	11 	2.79 	63.89 	0	0
6706--纳塔_踞石山_彩石顶2_(7-16)	20 	3.94 	50.37 	0	0
6707--纳塔_踞石山_庙宇_(9-11)	19 	4.78 	59.83 	0	0
6708--纳塔_踞石山_彩石顶3_(6-9)	14 	5.48 	55.64 	0	0
6801--纳塔_安饶之野_镜壁山东南_(20)	18 	3.93 	61.01 	0	0
6802--纳塔_安饶之野_镜壁山西南_(23)	24 	4.90 	69.33 	0	0
6803--纳塔_熔岩辉龙像东南_(5)	5 	3.01 	76.58 	0	0
6804--纳塔_安饶之野东北海岸_(8)	5 	2.56 	81.78 	0	0
6805--纳塔_安饶之野东岩浆池_(5)	6 	3.79 	52.88 	0	0
6806--纳塔_安饶之野东斜坡_(16)	15 	5.13 	54.00 	0	0
6807--纳塔_安饶之野神像_(8)	8 	4.34 	57.61 	0	0
6808--纳塔_安饶之野_沃陆之邦北小岛_(14)	13 	4.32 	63.25 	0	0
6809--纳塔_安饶之野_石火坠陨处_(12)	11 	5.12 	48.05 	0	0
6810--纳塔_安饶之野西南_(21)	21 	5.45 	65.05 	0	0
6811--纳塔_安饶之野_荒废弃造坞_(10)	9 	3.14 	48.03 	0	0
6812--纳塔_安饶之野_孑遗的留迹东南_(20)	17 	3.85 	44.09 	0	0
6813--纳塔_安饶之野西北_(8)	8 	4.32 	57.25 	0	0
