关键词数据	是否传奇	是否水免	是否次数盾	是否高危	怪物数量	600	400	200	秒均	路线名称
001璃月沉玉谷南陵 传奇 1200摩拉x2只.每只占2精英位	1	0	0	1	4	4	0	0	16.55	001璃月沉玉谷南陵 传奇
101蒙德雪山（600_1，200_2）1丘丘王 1丘丘暴徒 1幼岩龙蜥	0	0	0	0	3	1	0	2	11.24	101蒙德雪山（600_1，200_2）
102蒙德雪山（600_1）1丘丘王	0	0	0	0	1	1	0	0	12.05	102蒙德雪山（600_1）
103蒙德雪山（600_2，200_4）1丘丘王 1遗迹重机 4丘丘暴徒	0	0	0	0	6	2	0	4	12.61	103蒙德雪山（600_2，200_4）
104蒙德奔狼领（200_4）1法师 3兽境幼兽	0	0	0	0	4	0	0	4	16.57	104蒙德奔狼领（200_4）
105蒙德望风山地（200_1）1丘丘暴徒	0	0	0	0	1	0	0	1	15.61	105蒙德望风山地（200_1）
106蒙德风龙废墟北（200_2）2丘丘暴徒	0	0	0	0	2	0	0	2	4.65	106蒙德风龙废墟北（200_2）
107蒙德风龙废墟南（600_1，200_2）1狂风之核 2丘丘暴徒	0	0	0	0	3	1	0	2	9.28	107蒙德风龙废墟南（600_1，200_2）
201璃月离沙郊（600_1,200_2）1丘丘王 1丘丘暴徒 1法师	0	0	0	0	3	1	0	2	14.11	201璃月离沙郊（600_1，200_2）
202【高危】璃月灵矩关（200_4）3法师 1债务处理人	0	1	0	1	4	0	0	4	5.33	202【高危】璃月灵矩关（200_4）
203璃月遁玉陵f4（200_4）4遗迹守卫	0	0	0	0	4	0	0	4	5.71	203璃月遁玉陵f4（200_4）
204璃月天衡山（600_1，200_1）1岩龙蜥 1幼岩龙蜥	0	0	0	0	2	1	0	1	11	204璃月天衡山（600_1，200_1）
205【高危】璃月孤云阁f4（200_4）4遗迹守卫	0	0	0	1	4	0	0	4	8.16	205【高危】璃月孤云阁f4（200_4）
206璃月孤云阁北（200_5）4丘丘暴徒 1法师	0	0	0	0	5	0	0	5	11.65	206璃月孤云阁北（200_5）
207【高危】璃月孤云阁山顶（200_3）3法师	0	1	0	1	3	0	0	3	5.83	207【高危】璃月孤云阁山顶（200_3）
208璃月渌华池（200_3）1遗迹守卫 1法师 1债务处理人	0	1	0	0	3	0	0	3	9.19	208璃月渌华池（200_3）
209璃月天遒谷（600_1，200_4）1岩龙蜥 3幼岩龙蜥 1萤术士	0	0	0	0	5	1	0	4	16.03	209璃月天遒谷（600_1，200_4）
210璃月南天门（600_2，200_2）2岩龙蜥 1幼岩龙蜥 1丘丘暴徒	0	0	0	0	4	2	0	2	13.08	210璃月南天门（600_2，200_2）
211璃月虎牢山（600_1，200_5）1丘丘王 2遗迹守卫 2丘丘暴徒 1法师	0	0	0	0	6	1	0	5	10.84	211璃月虎牢山（600_1，200_5）
212璃月绝云间南（600_1，200_2）1岩龙蜥 1丘丘暴徒 1遗迹守卫	0	0	0	0	3	1	0	2	11.24	212璃月绝云间南（600_1，200_2）
213璃月庆云顶（600_3）2狂风之核 1岩龙蜥	0	0	0	0	3	3	0	0	16.98	213璃月庆云顶（600_3）
214璃月奥藏山北（600_3，200_2）2狂风之核 1岩龙蜥 2幼岩龙蜥	0	0	0	0	5	3	0	2	20	214璃月奥藏山北（600_3，200_2）
215璃月奥藏山下（600_1，200_1）1岩龙蜥 1幼岩龙蜥	0	0	0	0	2	1	0	1	20	215璃月奥藏山下（600_1，200_1）
216璃月珉林北（600_1）1丘丘王	0	0	0	0	1	1	0	0	16.41	216璃月珉林北（600_1）
217璃月珉林南（600_1）1丘丘王	0	0	0	0	1	1	0	0	15.29	217璃月珉林南（600_1）
218璃月碧水原（600_1，200_1）1丘丘王 1幼岩龙蜥	0	0	0	0	2	1	0	1	10.32	218璃月碧水原（600_1，200_1）
219璃月轻策庄（200_2）2浊水幻灵	0	1	0	0	2	0	0	2	9.76	219璃月轻策庄 浊水幻灵（200_2）
220璃月地中之盐（600_1）1丘丘王	0	0	0	0	1	1	0	0	13.53	220璃月地中之盐（600_1）
221璃月震雷宫（600_1）1丘丘王	0	0	0	0	1	1	0	0	16.97	221璃月震雷宫（600_1）
222璃月层岩北（600_1，200_2）1岩龙蜥 2幼岩龙蜥	0	0	0	0	3	1	0	2	18.87	222璃月层岩北（600_1，200_2）
223璃月层岩南（600_1，200_1）1遗迹重机 1遗迹守卫	0	0	0	0	2	1	0	1	17.39	223璃月层岩南（600_1，200_1）
224璃月沉玉谷南陵浅滩（200_3）3玄文兽	0	0	0	0	3	0	0	3	10.91	224璃月沉玉谷南陵浅滩（200_3）
225璃月沉玉谷隐山猊兽南（200_6）6玄文兽	0	0	0	0	6	0	0	6	13.24	225璃月沉玉谷隐山猊兽南（200_6）
226璃月沉玉谷赤望台（600_1，200_2）1丘丘王 2玄文兽	0	0	0	0	3	1	0	2	13.7	226璃月沉玉谷赤望台（600_1，200_2）
227璃月沉玉谷宝决口南（200_4）1丘丘暴徒 3法师冰火雷	0	0	0	0	4	0	0	4	13.38	227璃月沉玉谷宝决口南（200_4）
228璃月沉玉谷神像（200_8）7玄文兽 1遗迹机兵	0	0	0	0	8	0	0	8	10.06	228璃月沉玉谷神像（200_8）
229璃月沉玉谷宝决口东（600_1，200_2）1岩龙蜥 2玄文兽	0	0	0	0	3	1	0	2	14.49	229璃月沉玉谷宝决口东（600_1，200_2）
230璃月沉玉谷药蝶谷西（600_1）1丘丘王	0	0	0	0	1	1	0	0	11.64	230璃月沉玉谷药蝶谷西（600_1）
231璃月沉玉谷暝垣山（200_4）4玄文兽	0	0	0	0	4	0	0	4	9.41	231璃月沉玉谷暝垣山（200_4）
232璃月沉玉谷灵濛山南（600_1，200_4）1丘丘王 2幼岩龙蜥 2玄文兽	0	0	0	0	5	1	0	4	10.94	232璃月沉玉谷灵濛山南（600_1，200_4）
233璃月沉玉谷灵濛山东北（600_1，200_1）1丘丘王 1丘丘游侠	0	0	0	0	2	1	0	1	12.06	233璃月沉玉谷灵濛山东北（600_1，200_1）
234璃月沉玉谷上灵濛山东（200_3）2丘丘游侠 1丘丘暴徒	0	0	0	0	3	0	0	3	13.61	234璃月沉玉谷上灵濛山东（200_3）
235璃月层岩南山顶丘丘王（600_1）1丘丘王	0	0	0	0	1	1	0	0	5	235璃月层岩南山顶丘丘王（600_1）
236璃月层岩地下临时矿道（600_2）	0	0	0	0	2	2	0	0	14.12	236璃月层岩地下临时矿道（600_2）
237璃月层岩地下巨蛇岩洞（600_1）	0	0	0	0	1	1	0	0	14.63	237璃月层岩地下巨蛇岩洞（600_1）
238璃月层岩地下巨蛇岩洞（200_6）	0	0	0	0	6	0	0	6	15	238璃月层岩地下巨蛇岩洞（200_6）
239璃月层岩地下水泽南（600_2）	0	0	0	0	2	2	0	0	11.21	239璃月层岩水泽南（600_2）
240璃月层岩地下水泽（600_2）	0	0	0	0	2	2	0	0	15.19	240璃月层岩水泽（600_2）
241璃月层岩地下狭光道（600_2）	0	0	0	0	2	2	0	0	#DIV/0!	241璃月层岩地下狭光道（600_2）
242璃月层岩地下无名遗迹（600_1）	0	0	0	0	1	1	0	0	11.32	242璃月层岩地下无名遗迹（600_1）
243璃月层岩地下崎岖石厅北（600_1）	0	0	0	0	1	1	0	0	10.34	243璃月层岩地下崎岖石厅北（600_1）
244璃月层岩地下崎岖石厅南（600_4）	0	0	0	0	4	4	0	0	18.95	244璃月层岩地下崎岖石厅南（600_4）
245璃月层岩地下狭光道东（600_1）	0	0	0	0	1	1	0	0	#DIV/0!	245璃月层岩地下狭光道东（600_1）
301稻妻镇守之森（600_1，200_1）1丘丘王 1丘丘暴徒	0	0	0	0	2	1	0	1	13.94	301稻妻镇守之森（600_1，200_1）
302稻妻荒海（600_1，200_5）1遗迹重机 1遗迹猎者 4遗迹机兵	0	0	0	0	6	1	0	5	11.85	302稻妻荒海（600_1，200_5）
303稻妻砂流之庭（200_2）1火之债务处理人 1藏镜仕女	0	0	0	0	2	0	0	2	13.79	303稻妻砂流之庭（200_2）
304稻妻九条海滩（600_1，200_2）1丘丘王 2法师火雷	0	0	0	0	3	1	0	2	9.64	304稻妻九条海滩（600_1，200_2）
305稻妻相之火旁（600_1）1丘丘王	0	0	0	0	1	1	0	0	10.86	305稻妻相之火旁（600_1）
306稻妻踏鞴砂南（600_1，200_19）1丘丘王 9丘丘暴徒 6法师 2火之债务处理人 1冰萤术士 1雷萤术士	0	0	0	0	20	1	0	19	12.69	306稻妻踏鞴砂（600_1，200_19）
307稻妻绝缘本后山洞（200_3）3遗迹机兵	0	0	0	0	3	0	0	3	10	307稻妻绝缘本后山洞（200_3）
308稻妻水月池（200_8）7遗迹机兵 1藏镜仕女	0	0	0	0	8	0	0	8	6.37	308稻妻水月池（200_8）
309稻妻海祇岛北（200_2）1雷莹术士 1藏镜仕女	0	0	0	0	2	0	0	2	10.26	309稻妻海祇岛北（200_2）
310稻妻珊瑚宫（600_1）1丘丘王	0	0	0	0	1	1	0	0	11.73	310稻妻珊瑚宫（600_1）
311稻妻萌云神社（600_1，200_5）1丘丘王 2丘丘暴徒 2雷法师 1遗迹机兵	0	0	0	0	6	1	0	5	13.66	311稻妻萌云神社（600_1，200_5）
312稻妻清赖丸（600_1，200_4）1丘丘王 1冰萤术士 3遗迹机兵	0	0	0	0	5	1	0	4	10.13	312稻妻清赖丸（600_1，200_4）
313稻妻越石村（200_2）2遗迹机兵	0	0	0	0	2	0	0	2	16.67	313稻妻越石村（200_2）
314稻妻平海砦北（200_3）3遗迹机兵	0	0	0	0	3	0	0	3	18.75	314稻妻平海砦北（200_3）
315稻妻平海砦南（200_6）3遗迹机兵 2丘丘暴徒 1藏镜仕女	0	0	0	0	6	0	0	6	12.9	315稻妻平海砦南（200_6）
316稻妻天云峠（200_20）20遗迹机兵	0	0	0	0	20	0	0	20	13.11	316稻妻天云峠（200_20）
317稻妻鹤观千来神祠（200_12~16）3丘丘暴徒 1遗迹守卫 8遗迹机兵  	0	0	0	0	12	0	0	12	10.86	317稻妻鹤观千来神祠（200_12~16）
318稻妻鹤观知比山（200_5）2兽境幼兽 2遗迹机兵 1丘丘暴徒	0	0	0	0	5	0	0	5	10.09	318稻妻鹤观知比山（200_5）
319稻妻鹤观茂知祭场（200_9）5法师 2兽境幼兽 2暴徒	0	0	0	0	9	0	0	9	11.25	319稻妻鹤观茂知祭场（200_9）
320稻妻鹤馆惑饲滩（600_1，400_2，200_8~15）1丘丘王 2兽境猎犬 2兽境幼兽 4遗迹守卫 2丘丘暴徒	0	0	0	0	11	1	2	8	8	320稻妻鹤馆惑饲滩（600_1，400_2，200_8~15）
