是否传奇	是否水免	是否次数盾	是否高危	怪物数量	600	400	200	秒均	路线名称
1	0	0	0	4	4	0	0	13.33 	001璃月沉玉谷南陵 传奇
0	0	0	0	3	1	0	2	11.24 	101蒙德雪山（600_1，200_2）
0	0	0	0	1	1	0	0	12.05 	102蒙得雪山（600_1）
0	0	0	0	6	2	0	4	12.61 	103蒙德雪山（600_2，200_4）
0	0	0	0	4	0	0	4	16.57 	104蒙德奔狼领（200_4）
0	0	0	0	1	0	0	1	15.61 	105蒙德望风山地（200_1）
0	0	0	0	2	0	0	2	4.65 	106蒙德风龙废墟北（200_2）
0	0	0	0	3	1	0	2	9.28 	107蒙德风龙废墟南（600_1，200_2）
0	0	0	0	3	1	0	2	14.11 	201璃月离沙郊（600_1,200_2）
0	0	0	1	4	0	0	4	5.33 	202【高危】璃月灵矩关（200_4）
0	0	0	0	4	0	0	4	5.71 	203璃月遁玉陵f4（200_4）
0	0	0	0	2	1	0	1	11.00 	204璃月天衡山（600_1，200_1）
0	0	0	1	4	0	0	4	8.16 	205【高危】璃月孤云阁f4（200_4）
0	0	0	0	5	0	0	5	11.65 	206璃月孤云阁北（200_5）
0	1	0	1	3	0	0	3	5.83 	207【高危】璃月孤云阁山顶（200_3）
0	1	0	0	3	0	0	3	9.19 	208璃月渌华池（200_3）
0	0	0	0	5	1	0	4	16.03 	209璃月天遒谷（600_1，200_4）
0	0	0	0	4	2	0	2	13.08 	210璃月南天门（600_2，200_2）
0	0	0	0	6	1	0	5	10.84 	211璃月虎牢山（600_1,200_5）
0	0	0	0	3	1	0	2	11.24 	212璃月绝云间南（600_1，200_2）
0	0	0	0	3	3	0	0	16.98 	213璃月庆云顶（600_3）
0	0	0	0	5	3	0	2	20.00 	214璃月奥藏山北（600_3，200_2）
0	0	0	0	2	1	0	1	20.00 	215璃月奥藏山下（600_1，200_1）
0	0	0	0	1	1	0	0	16.41 	216璃月珉林北（600_1）
0	0	0	0	1	1	0	0	15.29 	217璃月珉林南（600_1）
0	0	0	0	2	1	0	1	10.32 	218璃月碧水原（600_1，200_1）
0	1	0	0	2	0	0	2	9.76 	219璃月轻策庄 浊水幻灵（200_4）
0	0	0	0	1	1	0	0	13.53 	220璃月地中之盐（600_1）
0	0	0	0	1	1	0	0	16.97 	221璃月震雷宫（600_1）
0	0	0	0	3	1	0	2	18.87 	222璃月层岩北（600_1，200_2）
0	0	0	0	2	1	0	1	17.39 	223璃月层岩南（600_1，200_1）
0	0	0	0	3	0	0	3	10.91 	224璃月沉玉谷南陵浅滩（200_3）
0	0	0	0	6	0	0	6	13.24 	225璃月沉玉谷隐山猊兽南（200_6）
0	0	0	0	3	1	0	2	13.70 	226璃月沉玉谷赤望台（600_1，200_2）
0	0	0	0	4	0	0	4	13.38 	227璃月沉玉谷宝决口南（200_4）
0	0	0	0	8	0	0	8	10.06 	228璃月沉玉谷神像（200_8）
0	0	0	0	3	1	0	2	14.49 	229璃月沉玉谷宝决口东（600_1，200_2）
0	0	0	0	1	1	0	0	11.64 	230璃月沉玉谷药蝶谷西（600_1）
0	0	0	0	4	0	0	4	9.41 	231璃月沉玉谷暝垣山（200_4）
0	0	0	0	5	1	0	4	10.94 	232璃月沉玉谷灵濛山南（600_1，200_4）
0	0	0	0	2	1	0	1	12.06 	233璃月沉玉谷灵濛山东北（600_1，200_1）
0	0	0	0	3	0	0	3	13.61 	234璃月沉玉谷上灵濛山东（200_3）
0	0	0	0	1	1	0	0	5.00 	235璃月层岩南山顶丘丘王（600_1）
0	0	0	0	2	1	0	1	13.94 	301稻妻镇守之森（600_1，200_1）
0	0	0	0	6	1	0	5	11.85 	302稻妻荒海（600_1，200_5）
0	0	0	0	2	0	0	2	13.79 	303稻妻砂流之庭（200_2）
0	0	0	0	3	1	0	2	9.64 	304稻妻九条海滩（600_1，200_2）
0	0	0	0	1	1	0	0	10.86 	305稻妻相之火旁（600_1）
0	0	0	0	20	1	0	19	12.08 	306稻妻踏鞴砂（600_1，200_19）
0	0	0	0	3	0	0	3	10.00 	307稻妻绝缘本后山洞（200_3）
0	0	0	0	8	0	0	8	6.37 	308稻妻水月池（200_8）
0	0	0	0	2	0	0	2	10.26 	309稻妻海祇岛北（200_2）
0	0	0	0	1	1	0	0	11.73 	310稻妻珊瑚宫（600_1）
0	0	0	0	6	1	0	5	13.66 	311稻妻萌云神社（600_1，200_5）
0	0	0	0	5	1	0	4	10.13 	312稻妻清赖丸（600_1，200_4）
0	0	0	0	2	0	0	2	16.67 	313稻妻越石村（200_2）
0	0	0	0	3	0	0	3	18.75 	314稻妻平海砦北（200_3）
0	0	0	0	6	0	0	6	12.90 	315稻妻平海砦南（200_6）
0	0	0	0	20	0	0	20	13.11 	316稻妻天云峠（200_20）
0	0	0	0	12	0	0	12	10.86 	317稻妻鹤观千来神祠（200_12~16）
0	0	0	0	5	0	0	5	10.09 	318稻妻鹤观知比山（200_5）
0	0	0	0	9	0	0	9	11.25 	319稻妻鹤观茂知祭场（200_9）
0	0	0	0	7	1	0	6	9.82 	320稻妻鹤馆惑饲滩（600_1，400_2，200_8~15）
0	0	0	0	7	0	3	4	18.25 	321稻妻鹤馆（400_3，200_4）
0	0	0	0	1	1	0	0	17.14 	401须弥降诸魔山神像（600_1）
0	0	0	0	1	0	0	1	4.88 	402须弥香醉坡（200_1）
0	0	0	0	4	0	0	4	6.56 	403须弥茸蕈窟（200_4）
0	0	0	0	3	0	0	3	4.44 	404须弥二净甸（200_3）
0	0	0	0	2	1	0	1	8.54 	405须弥觉王之殿南（600_1，200_1）
0	0	0	0	4	0	2	2	20.00 	406须弥往昔的桓那兰那（400_2，200_2）
0	0	0	0	1	1	0	0	10.00 	407须弥善见地（600_1，200_1）
0	0	0	0	2	2	0	0	27.91 	408须弥茶诃之座2丘丘王（600_2）
0	0	0	0	9	0	0	9	8.04 	409须弥茶诃之座（200_9）
0	0	0	0	2	0	0	2	8.70 	410须弥沙漠丰饶绿洲（200_2）
0	0	0	0	1	1	0	0	14.18 	411须弥沙漠饱饮之丘东（600_1）
0	0	0	0	2	1	0	1	7.84 	412须弥沙漠圣显厅北（600_1，200_1）
0	0	0	0	7	0	0	7	13.44 	413须弥沙漠圣显厅门口（200_7）
0	0	0	0	1	1	0	0	12.77 	414须弥沙漠沙虫隧道（600_1）
0	0	0	0	2	0	0	2	8.70 	415须弥沙漠避让之丘（200_2）
0	0	0	0	4	1	0	3	10.53 	416须弥沙漠五绿洲的子遗地下（600_1，200_3）
0	0	0	0	1	1	0	0	11.73 	417须弥沙漠三运河之地北（600_1）
0	1	0	0	3	0	0	3	10.75 	501枫丹城 浊水幻灵（200_3）
0	0	0	1	3	0	0	3	4.65 	502【高危】枫丹芒索斯山东麓（200_3）
0	0	0	0	5	1	0	4	10.02 	503枫丹实验室遗址东（600_1，200_4）
0	0	0	0	7	0	0	7	12.75 	504枫丹茉洁站（200_7）
0	1	0	0	6	0	0	6	8.27 	505枫丹茉洁站北 浊水幻灵（200_6）
